date,number,latitude,longitude,tp
2017-04-02,2,33.0,129.0,1.56
2017-04-02,3,40.0,126.0,0.0
2017-04-02,3,40.0,127.0,0.0
2017-04-02,3,40.0,128.0,0.0
2017-04-02,3,40.0,129.0,0.0
2017-04-02,3,39.0,126.0,0.0
2017-04-02,3,39.0,127.0,0.0
2017-04-02,3,39.0,128.0,0.0
2017-04-02,3,39.0,129.0,0.0
2017-04-02,3,38.0,126.0,0.0
2017-04-02,3,38.0,127.0,0.0
2017-04-02,3,38.0,128.0,0.0
2017-04-02,3,38.0,129.0,0.0
2017-04-02,3,37.0,126.0,0.0
2017-04-02,3,37.0,127.0,0.0
2017-04-02,3,37.0,128.0,0.0
2017-04-02,3,37.0,129.0,0.0
2017-04-02,3,36.0,126.0,0.0
2017-04-02,3,36.0,127.0,0.0
2017-04-02,3,36.0,128.0,0.0
2017-04-02,3,36.0,129.0,0.0
2017-04-02,3,35.0,126.0,0.0
2017-04-02,3,35.0,127.0,0.0
2017-04-02,3,35.0,128.0,0.0
2017-04-02,3,35.0,129.0,0.0
2017-04-02,3,34.0,126.0,0.0
2017-04-02,3,34.0,127.0,0.0
2017-04-02,3,34.0,128.0,0.0
2017-04-02,3,34.0,129.0,0.08
2017-04-02,3,33.0,126.0,0.0
2017-04-02,3,33.0,127.0,0.0
2017-04-02,3,33.0,128.0,0.0
2017-04-02,3,33.0,129.0,0.08
2017-04-02,4,40.0,126.0,0.0
2017-04-02,4,40.0,127.0,0.0
2017-04-02,4,40.0,128.0,0.0
2017-04-02,4,40.0,129.0,0.11
2017-04-02,4,39.0,126.0,0.0
2017-04-02,4,39.0,127.0,0.0
2017-04-02,4,39.0,128.0,0.0
2017-04-02,4,39.0,129.0,0.11
2017-04-02,4,38.0,126.0,0.0
2017-04-02,4,38.0,127.0,0.0
2017-04-02,4,38.0,128.0,0.0
2017-04-02,4,38.0,129.0,0.05
2017-04-02,4,37.0,126.0,0.0
2017-04-02,4,37.0,127.0,0.0
2017-04-02,4,37.0,128.0,0.0
2017-04-02,4,37.0,129.0,0.05
2017-04-02,4,36.0,126.0,0.0
2017-04-02,4,36.0,127.0,0.0
2017-04-02,4,36.0,128.0,0.0
2017-04-02,4,36.0,129.0,0.0
2017-04-02,4,35.0,126.0,0.0
2017-04-02,4,35.0,127.0,0.0
2017-04-02,4,35.0,128.0,0.0
2017-04-02,4,35.0,129.0,0.0
2017-04-02,4,34.0,126.0,0.0
2017-04-02,4,34.0,127.0,0.0
2017-04-02,4,34.0,128.0,0.0
2017-04-02,4,34.0,129.0,0.0
2017-04-02,4,33.0,126.0,0.05
2017-04-02,4,33.0,127.0,0.05
2017-04-02,4,33.0,128.0,0.0
2017-04-02,4,33.0,129.0,0.0
2017-04-02,5,40.0,126.0,0.0
2017-04-02,5,40.0,127.0,0.0
2017-04-02,5,40.0,128.0,0.0
2017-04-02,5,40.0,129.0,0.0
2017-04-02,5,39.0,126.0,0.0
2017-04-02,5,39.0,127.0,0.0
2017-04-02,5,39.0,128.0,0.0
2017-04-02,5,39.0,129.0,0.0
2017-04-02,5,38.0,126.0,0.0
2017-04-02,5,38.0,127.0,0.0
2017-04-02,5,38.0,128.0,0.0
2017-04-02,5,38.0,129.0,0.16
2017-04-02,5,37.0,126.0,0.0
2017-04-02,5,37.0,127.0,0.0
2017-04-02,5,37.0,128.0,0.19
2017-04-02,5,37.0,129.0,0.35
2017-04-02,5,36.0,126.0,0.0
2017-04-02,5,36.0,127.0,0.0
2017-04-02,5,36.0,128.0,0.19
2017-04-02,5,36.0,129.0,0.81
2017-04-02,5,35.0,126.0,0.0
2017-04-02,5,35.0,127.0,0.0
2017-04-02,5,35.0,128.0,0.0
2017-04-02,5,35.0,129.0,0.62
2017-04-02,5,34.0,126.0,0.05
2017-04-02,5,34.0,127.0,0.0
2017-04-02,5,34.0,128.0,0.03
2017-04-02,5,34.0,129.0,0.13
2017-04-02,5,33.0,126.0,0.08
2017-04-02,5,33.0,127.0,0.05
2017-04-02,5,33.0,128.0,0.03
2017-04-02,5,33.0,129.0,0.13
2017-04-02,6,40.0,126.0,0.0
2017-04-02,6,40.0,127.0,0.0
2017-04-02,6,40.0,128.0,0.0
2017-04-02,6,40.0,129.0,0.0
2017-04-02,6,39.0,126.0,0.0
2017-04-02,6,39.0,127.0,0.0
2017-04-02,6,39.0,128.0,0.0
2017-04-02,6,39.0,129.0,0.0
2017-04-02,6,38.0,126.0,0.0
2017-04-02,6,38.0,127.0,0.0
2017-04-02,6,38.0,128.0,0.0
2017-04-02,6,38.0,129.0,0.03
2017-04-02,6,37.0,126.0,0.0
2017-04-02,6,37.0,127.0,0.0
2017-04-02,6,37.0,128.0,0.0
2017-04-02,6,37.0,129.0,0.03
2017-04-02,6,36.0,126.0,0.0
2017-04-02,6,36.0,127.0,0.0
2017-04-02,6,36.0,128.0,0.0
2017-04-02,6,36.0,129.0,0.48
2017-04-02,6,35.0,126.0,0.0
2017-04-02,6,35.0,127.0,0.0
2017-04-02,6,35.0,128.0,0.0
2017-04-02,6,35.0,129.0,0.48
2017-04-02,6,34.0,126.0,0.0
2017-04-02,6,34.0,127.0,0.0
2017-04-02,6,34.0,128.0,0.0
2017-04-02,6,34.0,129.0,0.16
2017-04-02,6,33.0,126.0,0.0
2017-04-02,6,33.0,127.0,0.0
2017-04-02,6,33.0,128.0,0.0
2017-04-02,6,33.0,129.0,0.16
2017-04-02,7,40.0,126.0,0.0
2017-04-02,7,40.0,127.0,0.0
2017-04-02,7,40.0,128.0,0.0
2017-04-02,7,40.0,129.0,0.0
2017-04-02,7,39.0,126.0,0.0
2017-04-02,7,39.0,127.0,0.0
2017-04-02,7,39.0,128.0,0.0
2017-04-02,7,39.0,129.0,0.0
2017-04-02,7,38.0,126.0,0.0
2017-04-02,7,38.0,127.0,0.0
2017-04-02,7,38.0,128.0,0.0
2017-04-02,7,38.0,129.0,0.0
2017-04-02,7,37.0,126.0,0.0
2017-04-02,7,37.0,127.0,0.0
2017-04-02,7,37.0,128.0,0.0
2017-04-02,7,37.0,129.0,0.0
2017-04-02,7,36.0,126.0,0.0
2017-04-02,7,36.0,127.0,0.0
2017-04-02,7,36.0,128.0,0.0
2017-04-02,7,36.0,129.0,0.24
2017-04-02,7,35.0,126.0,0.0
2017-04-02,7,35.0,127.0,0.0
2017-04-02,7,35.0,128.0,0.0
2017-04-02,7,35.0,129.0,0.24
2017-04-02,7,34.0,126.0,0.0
2017-04-02,7,34.0,127.0,0.0
2017-04-02,7,34.0,128.0,0.0
2017-04-02,7,34.0,129.0,0.0
2017-04-02,7,33.0,126.0,0.03
2017-04-02,7,33.0,127.0,0.03
2017-04-02,7,33.0,128.0,0.0
2017-04-02,7,33.0,129.0,0.0
2017-04-02,8,40.0,126.0,0.0
2017-04-02,8,40.0,127.0,0.0
2017-04-02,8,40.0,128.0,0.0
2017-04-02,8,40.0,129.0,0.0
2017-04-02,8,39.0,126.0,0.0
2017-04-02,8,39.0,127.0,0.0
2017-04-02,8,39.0,128.0,0.0
2017-04-02,8,39.0,129.0,0.0
2017-04-02,8,38.0,126.0,0.0
2017-04-02,8,38.0,127.0,0.0
2017-04-02,8,38.0,128.0,0.0
2017-04-02,8,38.0,129.0,0.16
2017-04-02,8,37.0,126.0,0.0
2017-04-02,8,37.0,127.0,0.0
2017-04-02,8,37.0,128.0,0.62
2017-04-02,8,37.0,129.0,0.78
2017-04-02,8,36.0,126.0,0.0
2017-04-02,8,36.0,127.0,0.13
2017-04-02,8,36.0,128.0,0.75
2017-04-02,8,36.0,129.0,2.18
2017-04-02,8,35.0,126.0,0.0
2017-04-02,8,35.0,127.0,0.13
2017-04-02,8,35.0,128.0,0.38
2017-04-02,8,35.0,129.0,1.8
2017-04-02,8,34.0,126.0,0.03
2017-04-02,8,34.0,127.0,0.0
2017-04-02,8,34.0,128.0,0.24
2017-04-02,8,34.0,129.0,0.27
2017-04-02,8,33.0,126.0,0.05
2017-04-02,8,33.0,127.0,0.03
2017-04-02,8,33.0,128.0,0.0
2017-04-02,8,33.0,129.0,0.03
2017-04-02,9,40.0,126.0,0.0
2017-04-02,9,40.0,127.0,0.0
2017-04-02,9,40.0,128.0,0.0
2017-04-02,9,40.0,129.0,0.0
2017-04-02,9,39.0,126.0,0.0
2017-04-02,9,39.0,127.0,0.0
2017-04-02,9,39.0,128.0,0.0
2017-04-02,9,39.0,129.0,0.0
2017-04-02,9,38.0,126.0,0.0
2017-04-02,9,38.0,127.0,0.0
2017-04-02,9,38.0,128.0,0.0
2017-04-02,9,38.0,129.0,0.0
2017-04-02,9,37.0,126.0,0.0
2017-04-02,9,37.0,127.0,0.0
2017-04-02,9,37.0,128.0,0.0
2017-04-02,9,37.0,129.0,0.0
2017-04-02,9,36.0,126.0,0.0
2017-04-02,9,36.0,127.0,0.0
2017-04-02,9,36.0,128.0,0.0
2017-04-02,9,36.0,129.0,0.13
2017-04-02,9,35.0,126.0,0.0
2017-04-02,9,35.0,127.0,0.0
2017-04-02,9,35.0,128.0,0.0
2017-04-02,9,35.0,129.0,0.13
2017-04-02,9,34.0,126.0,0.0
2017-04-02,9,34.0,127.0,0.0
2017-04-02,9,34.0,128.0,0.0
2017-04-02,9,34.0,129.0,0.0
2017-04-02,9,33.0,126.0,0.03
2017-04-02,9,33.0,127.0,0.03
2017-04-02,9,33.0,128.0,0.0
2017-04-02,9,33.0,129.0,0.0
2017-04-03,0,40.0,126.0,0.0
2017-04-03,0,40.0,127.0,0.0
2017-04-03,0,40.0,128.0,0.0
2017-04-03,0,40.0,129.0,0.0
2017-04-03,0,39.0,126.0,0.0
2017-04-03,0,39.0,127.0,0.0
2017-04-03,0,39.0,128.0,0.0
2017-04-03,0,39.0,129.0,0.0
2017-04-03,0,38.0,126.0,0.0
2017-04-03,0,38.0,127.0,0.0
2017-04-03,0,38.0,128.0,0.0
2017-04-03,0,38.0,129.0,0.19
2017-04-03,0,37.0,126.0,0.0
2017-04-03,0,37.0,127.0,0.0
2017-04-03,0,37.0,128.0,0.03
2017-04-03,0,37.0,129.0,0.19
2017-04-03,0,36.0,126.0,0.11
2017-04-03,0,36.0,127.0,0.0
2017-04-03,0,36.0,128.0,0.03
2017-04-03,0,36.0,129.0,0.43
2017-04-03,0,35.0,126.0,0.3
2017-04-03,0,35.0,127.0,0.19
2017-04-03,0,35.0,128.0,0.05
