date,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,obs,mean
2016-11-18,3,0.15,-0.02,0.0,0.02,0.24,0.44,1.88,0.0,0.01,0.84,0.0,4.28,4.97,0.07,0.42,0.0,3.6,0.03,0.0,3.4,2.48,2.28,0.0,2.46,0.24,4.75,1.11
2016-11-19,3,0.61,0.0,0.0,0.0,0.56,0.28,4.62,0.03,0.0,0.46,0.03,5.31,0.38,11.32,3.81,-0.02,0.0,0.0,0.02,3.43,0.58,0.54,0.0,0.09,0.0,0.78,1.28
2016-11-20,3,0.31,0.18,0.08,0.0,0.18,0.66,0.03,1.07,0.12,0.23,0.0,1.33,0.0,3.3,0.25,0.0,0.0,0.03,0.1,0.6,0.02,-0.02,0.0,0.0,0.04,0.1,0.34
2016-11-21,3,0.05,7.01,0.97,0.0,0.03,1.91,0.1,0.18,1.8,0.0,0.07,21.68,0.12,0.05,0.0,0.02,1.84,0.0,1.05,1.52,2.42,0.0,0.0,0.02,0.54,0.0,1.66
2016-11-22,3,0.0,0.05,0.0,0.01,0.02,0.97,0.05,0.0,0.0,3.26,0.13,6.24,0.91,0.0,0.26,1.62,0.4,0.02,0.0,0.0,0.0,3.49,2.56,0.31,0.01,0.96,0.81
2016-11-23,3,0.0,0.36,0.12,0.11,0.02,1.5,1.93,0.72,0.01,0.0,0.76,0.0,0.24,0.46,0.0,0.01,1.71,0.0,0.0,0.07,0.0,0.1,0.28,0.12,0.0,0.02,0.34
2016-11-24,3,0.0,0.02,9.97,0.26,0.35,5.15,0.02,0.01,0.08,0.0,0.24,0.03,0.0,0.0,0.02,4.69,3.74,0.37,0.06,0.0,3.79,0.0,0.34,0.0,0.0,0.0,1.17
2016-11-25,3,0.94,0.0,1.38,0.02,0.47,0.05,0.0,0.35,0.0,0.0,0.03,0.12,0.0,0.0,18.42,2.61,0.02,0.72,2.83,0.0,0.12,0.0,0.07,0.0,0.0,0.0,1.13
2016-11-26,3,23.48,0.06,0.04,0.47,1.62,0.0,5.47,1.19,0.0,1.34,0.07,1.38,0.21,0.03,14.66,0.0,0.0,0.0,0.46,1.52,0.12,0.01,0.16,0.0,0.0,0.08,2.09
2016-11-27,3,0.05,1.98,0.06,0.0,0.58,0.0,0.02,0.01,0.0,0.0,0.0,0.15,0.3,0.27,0.17,0.0,0.02,0.33,0.95,5.91,0.79,0.02,0.0,0.17,10.55,0.24,0.89
2016-11-28,3,0.03,0.0,0.0,1.89,0.57,0.0,0.0,0.0,0.01,0.0,0.21,15.53,0.0,0.38,0.03,1.86,3.85,0.0,0.03,0.13,0.0,0.0,0.01,6.57,0.54,0.0,1.27
2016-11-29,3,0.06,0.31,0.27,0.0,0.02,0.01,0.18,0.21,0.3,0.0,0.5,6.57,0.01,1.57,8.81,0.68,1.18,0.59,0.68,0.84,0.2,2.07,0.0,7.95,3.65,0.02,1.47
2016-11-30,3,0.0,0.0,0.08,0.0,0.03,0.0,0.0,0.0,0.35,0.0,0.0,0.02,0.03,0.0,0.02,0.0,0.03,0.0,0.16,0.0,0.32,7.83,0.0,0.02,5.51,1.36,0.58
2016-12-01,4,2.52,0.25,0.0,0.25,0.0,0.02,0.0,0.0,0.0,0.4,0.0,0.05,0.09,0.0,0.01,0.19,0.0,0.02,0.0,0.06,0.14,0.61,0.0,0.0,0.01,0.14,0.18
2016-12-02,4,0.45,0.34,0.02,0.0,0.01,0.06,0.18,0.0,0.0,0.0,0.0,1.38,0.02,0.0,0.19,0.13,1.87,0.0,0.01,0.12,15.14,0.01,0.01,2.56,0.01,0.0,0.9
