catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2018_5,5,3,39.456,40.796,0.033,1.0
A,2018_6,6,3,87.001,67.971,-0.28,0.0
A,2018_7,7,3,163.066,68.53,-1.379,0.0
A,2018_8,8,3,217.196,76.115,-1.854,0.0
A,2018_9,9,3,57.65,83.931,0.313,1.0
A,2018_10,10,3,21.27,95.027,0.776,1.0
A,2018_11,11,3,22.712,17.754,-0.279,0.0
A,2018_12,12,3,49.242,12.679,-2.884,0.0
A,2019_1,1,3,56.095,11.572,-3.847,0.0
A,2019_2,2,3,81.885,16.137,-4.074,0.0
A,2019_3,3,3,95.229,41.637,-1.287,0.0
A,2019_4,4,3,88.05,91.338,0.036,1.0
A,2019_5,5,3,85.007,163.427,0.48,1.0
A,2019_6,6,3,113.295,252.578,0.551,1.0
A,2019_7,7,3,43.554,194.461,0.776,1.0
A,2019_8,8,3,39.065,84.616,0.538,1.0
A,2019_9,9,3,25.383,76.563,0.668,1.0
A,2019_10,10,3,76.651,60.176,-0.274,0.0
A,2019_11,11,3,12.002,80.696,0.851,1.0
A,2019_12,12,3,11.375,72.46,0.843,1.0
A,2020_1,1,3,47.338,56.045,0.155,1.0
A,2020_2,2,3,102.799,12.69,-7.101,0.0
A,2020_3,3,3,91.848,24.164,-2.801,0.0
A,2020_4,4,3,48.162,45.185,-0.066,0.0
A,2020_5,5,3,32.443,43.341,0.251,1.0
A,2020_6,6,3,194.982,81.347,-1.397,0.0
A,2020_7,7,3,391.602,135.6,-1.888,0.0
A,2020_8,8,3,150.405,137.014,-0.098,0.0
A,2020_9,9,3,37.991,49.393,0.231,1.0
A,2020_10,10,3,42.055,22.404,-0.877,0.0
A,2020_11,11,3,37.419,8.87,-3.219,0.0
A,2020_12,12,3,70.71,6.202,-10.401,0.0
A,2011_1,1,4,23.617,76.139,0.69,1.0
A,2011_2,2,4,48.314,117.468,0.589,1.0
A,2011_3,3,4,264.05,352.063,0.25,1.0
A,2011_4,4,4,671.826,564.733,-0.19,0.0
A,2011_5,5,4,700.173,443.774,-0.578,0.0
A,2011_6,6,4,642.709,391.208,-0.643,0.0
A,2011_7,7,4,506.283,132.73,-2.814,0.0
A,2011_8,8,4,68.613,65.621,-0.046,0.0
A,2011_9,9,4,34.51,46.435,0.257,1.0
A,2011_10,10,4,22.544,18.757,-0.202,0.0
A,2011_11,11,4,108.765,10.666,-9.197,0.0
A,2011_12,12,4,80.485,12.236,-5.578,0.0
A,2012_1,1,4,24.676,42.56,0.42,1.0
A,2012_2,2,4,23.653,18.888,-0.252,0.0
A,2012_3,3,4,47.459,19.1,-1.485,0.0
A,2012_4,4,4,51.114,43.503,-0.175,0.0
A,2012_5,5,4,203.339,54.367,-2.74,0.0
A,2012_6,6,4,204.249,53.47,-2.82,0.0
A,2012_7,7,4,201.911,57.558,-2.508,0.0
A,2012_8,8,4,80.446,67.104,-0.199,0.0
A,2012_9,9,4,38.918,62.761,0.38,1.0
A,2012_10,10,4,12.205,50.143,0.757,1.0
A,2012_11,11,4,14.688,66.871,0.78,1.0
A,2012_12,12,4,26.234,53.768,0.512,1.0
A,2013_1,1,4,38.232,36.58,-0.045,0.0
A,2013_2,2,4,47.26,26.652,-0.773,0.0
A,2013_3,3,4,35.903,15.132,-1.373,0.0
